
 (232067) Acessou o portal. Isto através do IP: 179.55.231.227, na data 10 às 10:54.

 (232067) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.55.231.227, na data 10 às 10:54.

 (232067) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.55.231.227, na data 10 às 10:55.

 (232067) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.55.231.227, na data 10 às 10:55.

 (232067) Acessou o portal. Isto através do IP: 179.55.231.227, na data 10 às 10:59.

 (232067) Acessou página financeira. Isto através do IP: 179.55.231.227, na data 10 às 10:59.

 (232067) Acessou página financeira. Isto através do IP: 179.55.231.227, na data 10 às 10:59.

 (232067) Acessou página financeira. Isto através do IP: 179.55.231.227, na data 10 às 10:59.

 (232067) Acessou página financeira. Isto através do IP: 179.55.231.227, na data 10 às 11:00.

 (232067) Acessou página financeira. Isto através do IP: 179.55.231.227, na data 10 às 11:00.

 (232067) Acessou página financeira. Isto através do IP: 179.55.231.227, na data 10 às 11:00.

 (232067) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.55.231.227, na data 10 às 11:08.

 (232067) Acessou página financeira. Isto através do IP: 179.55.231.227, na data 10 às 11:08.

 (232067) Acessou página financeira. Isto através do IP: 179.55.231.227, na data 10 às 11:08.

 (232067) Acessou o portal. Isto através do IP: 179.55.231.227, na data 10 às 11:11.

 (232067) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.55.231.227, na data 10 às 11:12.

 (232067) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.55.231.227, na data 10 às 15:43.

 (232067) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.55.231.227, na data 10 às 15:45.

 (232067) Acessou o portal. Isto através do IP: 179.55.242.85, na data 20 às 10:02.

 (232067) Acessou página financeira. Isto através do IP: 179.55.242.85, na data 20 às 10:03.

 (232067) Acessou página financeira. Isto através do IP: 179.55.242.85, na data 20 às 10:03.

 (232067) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.55.242.85, na data 20 às 10:03.

 (232067) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.55.242.85, na data 20 às 10:07.

 (232067) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.55.242.85, na data 20 às 10:07.

 (232067) Acessou o portal. Isto através do IP: 179.55.242.85, na data 20 às 10:08.

 (232067) Acessou página financeira. Isto através do IP: 179.55.242.85, na data 20 às 10:08.

 (232067) Acessou página financeira. Isto através do IP: 179.55.242.85, na data 20 às 10:09.

 (232067) Acessou o portal. Isto através do IP: 179.55.242.85, na data 20 às 10:09.

 (232067) Acessou o portal. Isto através do IP: 179.55.242.85, na data 20 às 10:10.

 (232067) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.55.242.85, na data 20 às 10:10.

 (232067) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.55.242.85, na data 20 às 10:11.

 (232067) Acessou página financeira. Isto através do IP: 179.55.242.85, na data 20 às 10:11.

 (232067) Acessou página financeira. Isto através do IP: 179.55.242.85, na data 20 às 10:12.

 (232067) Acessou página financeira para carregamento de arquivo CSV. Isto através do IP: 179.55.242.85, na data 20 às 10:12.

 (232067) Acessou o portal. Isto através do IP: 179.55.242.85, na data 20 às 10:13.

 (232067) Acessou o portal. Isto através do IP: 179.55.242.85, na data 20 às 10:13.
